,0
0,False
1,True
2,False
3,False
4,False
5,True
6,False
7,False
8,False
9,False
10,True
11,False
12,True
13,False
14,False
15,False
16,False
17,True
18,False
19,False
20,False
21,False
22,True
23,False
24,False
25,False
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,True
35,False
36,False
37,True
38,False
39,False
40,False
41,False
42,False
43,True
44,False
45,False
46,False
47,True
48,False
49,False
50,False
51,False
52,True
53,False
54,False
55,True
56,False
57,True
58,False
59,False
60,False
61,False
62,False
63,False
64,False
65,True
66,False
67,True
68,False
69,False
70,False
71,False
72,False
73,False
74,False
75,False
76,True
77,False
78,False
79,False
80,False
81,False
82,False
83,False
84,False
85,True
86,True
87,True
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,True
96,False
97,False
98,True
99,False
100,False
101,False
102,False
103,False
104,False
105,False
106,False
107,True
108,True
109,False
110,True
111,False
112,False
113,False
114,False
115,True
116,False
117,True
118,False
119,True
120,True
121,False
122,True
123,False
124,False
125,False
126,False
127,True
128,False
129,False
130,False
131,False
132,False
133,False
134,False
135,False
136,True
137,False
138,False
139,True
140,False
141,True
142,False
143,False
144,True
145,False
146,False
147,False
148,True
149,False
150,False
151,False
152,False
153,False
154,False
155,True
156,False
157,True
158,False
159,True
160,True
161,False
162,False
163,False
164,False
165,False
166,False
167,False
168,True
169,False
170,False
171,False
172,True
173,False
174,False
175,False
176,False
177,True
178,True
179,False
180,False
181,True
182,False
183,True
184,False
185,False
186,False
187,False
188,False
189,True
190,False
191,True
192,True
193,True
194,False
195,False
196,True
197,False
198,False
199,False
200,False
201,False
202,False
203,True
204,False
205,True
206,False
207,False
208,True
209,True
210,True
211,False
212,False
213,False
214,True
215,False
216,False
217,False
218,False
219,False
220,False
221,False
222,False
223,True
224,False
225,True
226,False
227,False
228,False
229,True
230,False
231,False
232,True
233,False
234,True
235,False
236,True
237,False
238,True
239,False
240,True
241,True
242,False
243,False
244,True
245,False
246,False
247,False
248,False
249,False
250,False
251,False
252,True
253,True
254,False
255,False
256,False
257,False
258,False
259,True
260,True
261,False
262,True
263,False
264,True
265,False
266,False
267,False
268,False
269,False
270,False
271,False
272,True
273,True
274,False
275,False
276,True
277,True
278,True
279,False
280,False
281,False
282,True
283,False
284,False
285,True
286,True
287,False
288,True
289,True
290,False
291,False
292,False
293,False
294,False
295,False
296,False
297,False
298,True
299,False
300,False
301,True
302,True
303,False
304,False
305,False
306,False
307,True
308,True
309,True
310,False
311,False
312,False
313,True
314,False
315,True
316,False
317,False
318,False
319,False
320,True
321,False
322,True
323,False
324,False
325,True
326,True
327,True
328,False
329,True
330,True
331,True
332,True
333,True
334,True
335,True
336,False
337,False
338,False
339,False
340,False
341,False
342,True
343,True
344,False
345,False
346,False
347,True
348,True
349,False
350,False
351,True
352,False
353,True
354,False
355,False
356,False
357,False
358,False
359,False
360,False
361,False
362,False
363,False
364,True
365,True
366,False
367,False
368,False
369,False
370,False
371,False
372,True
373,False
374,False
375,True
376,False
377,False
378,True
379,False
380,False
381,False
382,False
383,False
384,True
385,False
386,False
387,True
388,True
389,False
390,True
391,False
392,False
393,False
394,False
395,False
396,False
397,False
398,False
399,True
400,True
401,False
402,False
403,True
404,True
405,False
406,True
407,False
408,False
409,True
410,True
411,False
412,False
413,False
414,False
415,True
416,True
417,True
418,False
419,False
420,False
421,True
422,True
423,False
424,False
425,False
426,True
427,True
428,False
429,True
430,False
431,True
432,False
433,True
434,False
435,False
436,False
437,True
438,False
439,False
440,False
441,True
442,False
443,False
444,False
445,True
446,False
447,False
448,False
449,False
450,False
451,False
452,True
453,True
454,False
455,False
456,False
457,False
458,False
459,True
460,False
461,True
462,True
463,False
464,False
465,False
466,False
467,True
468,True
469,False
470,False
471,False
472,True
473,False
474,True
475,False
476,False
477,False
478,False
479,False
480,True
481,True
482,True
483,True
484,True
485,True
486,True
487,True
488,True
489,False
490,False
491,True
492,True
493,False
494,True
495,False
496,True
497,True
498,True
499,False
500,False
501,False
502,False
503,False
504,False
505,True
506,True
507,True
508,True
509,True
510,False
511,False
512,False
513,False
514,False
515,False
516,False
517,True
518,True
519,False
520,False
521,False
522,False
523,False
524,False
525,True
526,True
527,False
528,True
529,False
530,True
531,True
532,False
533,False
534,False
535,True
536,True
537,False
538,True
539,False
540,False
541,False
542,False
